2025-10-02 at 10:07:29 | INFO | Страница загружена
2025-10-02 at 10:07:29 | INFO | Данные для входа введены
2025-10-02 at 10:07:29 | INFO | Кнопка входа нажата
2025-10-02 at 10:10:00 | INFO | Страница загружена
2025-10-02 at 10:10:00 | INFO | Данные для входа введены
2025-10-02 at 10:10:00 | INFO | Кнопка входа нажата
2025-10-02 at 10:10:05 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 10:12:19 | INFO | Страница загружена
2025-10-02 at 10:12:19 | INFO | Данные для входа введены
2025-10-02 at 10:12:19 | INFO | Кнопка входа нажата
2025-10-02 at 10:12:24 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/homework/page/index
2025-10-02 at 10:13:28 | INFO | Страница загружена
2025-10-02 at 10:13:28 | INFO | Данные для входа введены
2025-10-02 at 10:13:28 | INFO | Кнопка входа нажата
2025-10-02 at 10:13:33 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 10:13:33 | INFO | Находимся в разделе домашнего задания
2025-10-02 at 10:14:00 | INFO | Страница загружена
2025-10-02 at 10:14:00 | INFO | Данные для входа введены
2025-10-02 at 10:14:00 | INFO | Кнопка входа нажата
2025-10-02 at 10:14:05 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 10:14:06 | INFO | Находимся в разделе домашнего задания
2025-10-02 at 10:14:22 | INFO | Страница загружена
2025-10-02 at 10:14:22 | INFO | Данные для входа введены
2025-10-02 at 10:14:22 | INFO | Кнопка входа нажата
2025-10-02 at 10:14:27 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 10:14:27 | INFO | Находимся в разделе домашнего задания
2025-10-02 at 10:15:29 | INFO | Страница загружена
2025-10-02 at 10:15:29 | INFO | Данные для входа введены
2025-10-02 at 10:15:29 | INFO | Кнопка входа нажата
2025-10-02 at 10:15:34 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 10:15:35 | INFO | Находимся в разделе домашнего задания
2025-10-02 at 10:17:31 | INFO | Страница загружена
2025-10-02 at 10:17:31 | INFO | Данные для входа введены
2025-10-02 at 10:17:31 | INFO | Кнопка входа нажата
2025-10-02 at 10:17:36 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 10:17:37 | INFO | Находимся в разделе домашнего задания
2025-10-02 at 10:18:38 | INFO | Страница загружена
2025-10-02 at 10:18:39 | INFO | Данные для входа введены
2025-10-02 at 10:18:39 | INFO | Кнопка входа нажата
2025-10-02 at 10:18:44 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 10:18:44 | INFO | Находимся в разделе домашнего задания
2025-10-02 at 13:53:52 | INFO | Страница загружена
2025-10-02 at 13:54:39 | INFO | Страница загружена
2025-10-02 at 13:55:53 | INFO | Страница загружена
2025-10-02 at 13:59:20 | INFO | Страница загружена
2025-10-02 at 13:59:20 | INFO | Данные для входа введены
2025-10-02 at 13:59:20 | INFO | Кнопка входа нажата
2025-10-02 at 13:59:25 | SUCCESS | Вход выполнен! Текущий URL: https://journal.top-academy.ru/ru/main/dashboard/page/index
2025-10-02 at 13:59:26 | INFO | Страница с домашними заданиями загружена
2025-10-02 at 13:59:26 | INFO | Найдено элементов с домашними заданиями: 22
2025-10-02 at 13:59:26 | INFO | Найдена кнопка загрузки для: Информационные технологии
2025-10-02 at 13:59:54 | INFO | Клик на кнопку загрузки для: Информационные технологии
2025-10-02 at 13:59:57 | SUCCESS | Готово к загрузке файла для: Информационные технологии
2025-10-02 at 13:59:57 | INFO | Найдена кнопка загрузки для: Информационные технологии
